351.5,1
340,1
339.5,2
336,1
328,1
327.5,1
326,1
323,1
322.5,1
321,1
320,1
317.5,1
315,2
314.5,1
314.5,1
310,1
310,1
308.5,1
308.5,1
308,1
308,2
308,1
307.5,1
307,1
307,1
306.5,1
304.5,1
304,1
304,2
304,1
303,1
302,1
302,1
301,1
300.5,1
299.5,1
299.5,1
299.5,1
299,1
299,1
298.5,2
298.5,1
298.5,1
298,1
297,1
296.5,1
296.5,1
296,1
295.5,1
295.5,1
295,1
293.5,1
293.5,2
293,1
293,2
292.5,2
292,1
292,1
292,1
291.5,1
291.5,1
291,1
291,1
291,1
290,1
290,1
288.5,2
288.5,1
288.5,1
288,1
287.5,1
287.5,1
287.5,2
287,1
287,1
286.5,1
286.5,1
286,1
286,1
285.5,1
284.5,1
284.5,1
284.5,1
283.5,1
282.5,1
282.5,1
282,1
282,1
281,1
281,1
280.5,1
280.5,2
280.5,1
280.5,1
279.5,1
279.5,1
279,1
279,1
279,1
279,1
278.5,1
278.5,1
278,1
277.5,1
277,1
277,1
277,1
276,1
275.5,1
275.5,1
275,1
275,1
274.5,1
274,1
273.5,1
273.5,1
273.5,1
273,1
273,1
272.5,1
271.5,1
271.5,1
271,1
270.5,1
270,1
269.5,1
269,1
268.5,2
268,1
268,1
267.5,1
267.5,1
267,1
266.5,1
266.5,1
266.5,1
266,2
266,2
265.5,1
265.5,1
265.5,1
265,1
265,1
264,1
264,1
264,1
264,1
264,1
263.5,1
263.5,1
263,1
263,2
262.5,1
262,1
262,1
261,1
261,1
261,1
260.5,1
260,1
259.5,1
259.5,1
259,1
259,1
258.5,1
258,1
258,1
257,1
257,1
257,2
257,1
257,1
257,2
256.5,1
256.5,2
256,1
255.5,1
255.5,1
255.5,1
255.5,1
255.5,1
255,1
255,1
255,1
254.5,2
254.5,2
254.5,1
254.5,1
254,1
254,1
254,1
254,1
253.5,1
253,1
252.5,1
252.5,1
250.5,2
250.5,1
250.5,2
250.5,1
249.5,2
248.5,1
248.5,1
247.5,1
247.5,2
247,1
247,1
247,1
246.5,1
246.5,1
246.5,1
246,1
246,1
245,1
244.5,1
244.5,1
244,1
243.5,1
243,1
242.5,1
242,1
242,1
242,2
242,1
242,1
241.5,1
241,2
241,1
241,1
241,1
241,1
241,1
240.5,1
240,1
240,1
240,1
239.5,1
239.5,1
239,1
239,1
239,1
238.5,1
238,1
238,2
238,1
237.5,1
237.5,2
237.5,1
237,1
236.5,1
236.5,1
236.5,1
236.5,1
236,1
236,1
236,2
236,1
235.5,1
235.5,1
235.5,1
235.5,1
235.5,1
235,1
234.5,1
234.5,1
234.5,2
234.5,1
234.5,2
234.5,2
234.5,1
234,1
234,1
234,1
233.5,2
233.5,2
233.5,1
233.5,1
233,2
233,1
233,1
232.5,1
232,1
232,2
231,1
230.5,1
230.5,1
230.5,1
230,1
230,1
230,1
228,1
228,1
227,1
226.5,1
226,1
225.5,1
225.5,2
225.5,1
225,1
224.5,1
224.5,1
224.5,1
224.5,1
224.5,1
224,1
223,1
223,1
223,1
222.5,1
222.5,1
222.5,1
222.5,1
221.5,1
221.5,1
221.5,1
221.5,2
220.5,1
220.5,1
220.5,1
220,1
220,1
220,2
219,1
219,1
218.5,1
217.5,1
217,1
216,2
216,1
215.5,1
215.5,1
215,1
214,1
214,1
214,2
213,1
213,1
212.5,1
211.5,2
211,1
210.5,1
210,1
209.5,1
209,1
209,1
208.5,1
208.5,1
208.5,1
208.5,1
208,1
208,1
207.5,1
207,1
206.5,1
206.5,1
206,1
205.5,1
204.5,1
203.5,1
201,2
200.5,1
200.5,1
200,2
200,1
200,1
199,2
198.5,2
198,1
196.5,1
196.5,1
196,1
195.5,1
195,1
195,1
194.5,1
193.5,1
193.5,1
193.5,2
192.5,2
192,1
191.5,1
191,1
191,1
189,1
188,1
188,1
187.5,1
187.5,1
186,1
184,2
183,1
181,1
180.5,1
180,2
178.5,1
178.5,1
178,1
178,1
176,2
176,1
174.5,2
174,1
174,1
173,2
170.5,1
168,1
166.5,1
166,1
165.5,1
165.5,1
165,1
165,1
165,2
164,1
163,1
161,1
160.5,1
160,1
159,1
157.5,1
155,1
154.5,1
154,2
153,1
151.5,1
150.5,2
147.5,2
147.5,2
147.5,1
146.5,1
145.5,2
145,2
144.5,2
141.5,1
141,1
139,1
139,1
130.5,2
108.5,1
51,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,2
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,2
0,1
0,2
0,2
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
